target,model_name,feature_group,bin,n_obs,avg_predicted_probability,actual_positive_rate
next_5d_vol_expansion,logistic,rv_only,0,120,0.045455731625850655,0.15
next_5d_vol_expansion,logistic,rv_only,1,187,0.15281401803354613,0.22459893048128343
next_5d_vol_expansion,logistic,rv_only,2,308,0.25349886608589367,0.3051948051948052
next_5d_vol_expansion,logistic,rv_only,3,437,0.3532286395087447,0.36384439359267734
next_5d_vol_expansion,logistic,rv_only,4,530,0.4481119437274415,0.46226415094339623
next_5d_vol_expansion,logistic,rv_only,5,186,0.5359691634135006,0.6290322580645161
next_5d_vol_expansion,logistic,rv_only,6,36,0.632064696664933,0.3888888888888889
next_5d_vol_expansion,logistic,rv_only,7,1,0.7401721337604048,0.0
next_5d_vol_expansion,logistic,rv_only,8,1,0.816406065568624,0.0
next_5d_vol_expansion,logistic,rv_only,9,0,,
next_5d_vol_expansion,random_forest,rv_only,0,254,0.06704360697720628,0.2952755905511811
next_5d_vol_expansion,random_forest,rv_only,1,296,0.1528950250790982,0.30743243243243246
next_5d_vol_expansion,random_forest,rv_only,2,307,0.25022502818437076,0.30618892508143325
next_5d_vol_expansion,random_forest,rv_only,3,244,0.3464137091611346,0.3360655737704918
next_5d_vol_expansion,random_forest,rv_only,4,223,0.4462375238463495,0.45739910313901344
next_5d_vol_expansion,random_forest,rv_only,5,209,0.5514336910016511,0.49282296650717705
next_5d_vol_expansion,random_forest,rv_only,6,181,0.6467446493986545,0.5414364640883977
next_5d_vol_expansion,random_forest,rv_only,7,64,0.7401797592129469,0.46875
next_5d_vol_expansion,random_forest,rv_only,8,28,0.8296673063979885,0.5
next_5d_vol_expansion,random_forest,rv_only,9,0,,
next_5d_vol_expansion,logistic,vix_only,0,29,0.0640188516073754,0.1724137931034483
next_5d_vol_expansion,logistic,vix_only,1,167,0.16451283693659463,0.23353293413173654
next_5d_vol_expansion,logistic,vix_only,2,453,0.25423994208526307,0.2913907284768212
next_5d_vol_expansion,logistic,vix_only,3,494,0.34710112723475584,0.354251012145749
next_5d_vol_expansion,logistic,vix_only,4,219,0.4452012249654281,0.4794520547945205
next_5d_vol_expansion,logistic,vix_only,5,133,0.5415938244885812,0.6842105263157895
next_5d_vol_expansion,logistic,vix_only,6,56,0.6420201252822314,0.6785714285714286
next_5d_vol_expansion,logistic,vix_only,7,23,0.7451762187293977,0.4782608695652174
next_5d_vol_expansion,logistic,vix_only,8,15,0.8438841592285872,0.8
next_5d_vol_expansion,logistic,vix_only,9,29,0.9782386485453429,0.41379310344827586
next_5d_vol_expansion,random_forest,vix_only,0,26,0.08329977520012848,0.23076923076923078
next_5d_vol_expansion,random_forest,vix_only,1,293,0.15981748944099464,0.24573378839590443
next_5d_vol_expansion,random_forest,vix_only,2,365,0.2504747315438092,0.3315068493150685
next_5d_vol_expansion,random_forest,vix_only,3,332,0.35225903443316464,0.3493975903614458
next_5d_vol_expansion,random_forest,vix_only,4,283,0.4497382150702337,0.4204946996466431
next_5d_vol_expansion,random_forest,vix_only,5,169,0.5465550458693909,0.5443786982248521
next_5d_vol_expansion,random_forest,vix_only,6,85,0.6441653746662769,0.6470588235294118
next_5d_vol_expansion,random_forest,vix_only,7,57,0.752576662356359,0.5964912280701754
next_5d_vol_expansion,random_forest,vix_only,8,8,0.8391986678642929,0.625
next_5d_vol_expansion,random_forest,vix_only,9,0,,
next_5d_vol_expansion,logistic,vrp_only,0,168,0.049203121900634764,0.14285714285714285
next_5d_vol_expansion,logistic,vrp_only,1,266,0.15560971807749613,0.22556390977443608
next_5d_vol_expansion,logistic,vrp_only,2,300,0.24774296889536448,0.27
next_5d_vol_expansion,logistic,vrp_only,3,219,0.34726694045955875,0.365296803652968
next_5d_vol_expansion,logistic,vrp_only,4,181,0.4484668853329229,0.39779005524861877
next_5d_vol_expansion,logistic,vrp_only,5,153,0.5508634729856084,0.6274509803921569
next_5d_vol_expansion,logistic,vrp_only,6,89,0.6501233867864522,0.651685393258427
next_5d_vol_expansion,logistic,vrp_only,7,82,0.7482499470536563,0.6097560975609756
next_5d_vol_expansion,logistic,vrp_only,8,69,0.8384898496884302,0.5217391304347826
next_5d_vol_expansion,logistic,vrp_only,9,70,0.960702031944419,0.6571428571428571
next_5d_vol_expansion,random_forest,vrp_only,0,157,0.05818251171504597,0.11464968152866242
next_5d_vol_expansion,random_forest,vrp_only,1,210,0.15661021094073702,0.2523809523809524
next_5d_vol_expansion,random_forest,vrp_only,2,267,0.25051327391929223,0.2397003745318352
next_5d_vol_expansion,random_forest,vrp_only,3,253,0.3497248886901706,0.39920948616600793
next_5d_vol_expansion,random_forest,vrp_only,4,245,0.44444985150232874,0.37551020408163266
next_5d_vol_expansion,random_forest,vrp_only,5,118,0.5428398184981038,0.3983050847457627
next_5d_vol_expansion,random_forest,vrp_only,6,145,0.6507326261445864,0.5310344827586206
next_5d_vol_expansion,random_forest,vrp_only,7,128,0.7549463723138414,0.6875
next_5d_vol_expansion,random_forest,vrp_only,8,62,0.8405753085520925,0.8709677419354839
next_5d_vol_expansion,random_forest,vrp_only,9,12,0.9234199945947964,0.75
next_5d_vol_expansion,logistic,extreme_vrp,0,57,0.09229881803110551,0.19298245614035087
next_5d_vol_expansion,logistic,extreme_vrp,1,122,0.1244135326488188,0.09836065573770492
next_5d_vol_expansion,logistic,extreme_vrp,2,3,0.2202857905909479,0.0
next_5d_vol_expansion,logistic,extreme_vrp,3,1184,0.3585084159399133,0.3589527027027027
next_5d_vol_expansion,logistic,extreme_vrp,4,14,0.4087507649735622,0.7142857142857143
next_5d_vol_expansion,logistic,extreme_vrp,5,0,,
next_5d_vol_expansion,logistic,extreme_vrp,6,73,0.6717530083769572,0.7945205479452054
next_5d_vol_expansion,logistic,extreme_vrp,7,135,0.7470625140602296,0.5925925925925926
next_5d_vol_expansion,logistic,extreme_vrp,8,8,0.8401588555641228,0.875
next_5d_vol_expansion,logistic,extreme_vrp,9,1,0.9557450505284183,0.0
next_5d_vol_expansion,random_forest,extreme_vrp,0,110,0.03993454847350523,0.15454545454545454
next_5d_vol_expansion,random_forest,extreme_vrp,1,186,0.15437793828458718,0.3279569892473118
next_5d_vol_expansion,random_forest,extreme_vrp,2,299,0.25650193623684897,0.36789297658862874
next_5d_vol_expansion,random_forest,extreme_vrp,3,394,0.34762951373826545,0.33756345177664976
next_5d_vol_expansion,random_forest,extreme_vrp,4,265,0.44594016349282706,0.3320754716981132
next_5d_vol_expansion,random_forest,extreme_vrp,5,172,0.554131428666076,0.4127906976744186
next_5d_vol_expansion,random_forest,extreme_vrp,6,60,0.6429681493081041,0.6333333333333333
next_5d_vol_expansion,random_forest,extreme_vrp,7,29,0.746032562318001,0.5862068965517241
next_5d_vol_expansion,random_forest,extreme_vrp,8,39,0.8602610305344033,0.8205128205128205
next_5d_vol_expansion,random_forest,extreme_vrp,9,43,0.97468418241414,0.8372093023255814
next_5d_vol_expansion,logistic,combined,0,244,0.05449306075457361,0.16393442622950818
next_5d_vol_expansion,logistic,combined,1,314,0.15118273535470017,0.2611464968152866
next_5d_vol_expansion,logistic,combined,2,275,0.24891955166609828,0.3090909090909091
next_5d_vol_expansion,logistic,combined,3,178,0.34678010920543034,0.39325842696629215
next_5d_vol_expansion,logistic,combined,4,130,0.4474781470223808,0.4307692307692308
next_5d_vol_expansion,logistic,combined,5,102,0.5527233772733428,0.5294117647058824
next_5d_vol_expansion,logistic,combined,6,99,0.6473044189807642,0.5757575757575758
next_5d_vol_expansion,logistic,combined,7,83,0.7500152767033802,0.6506024096385542
next_5d_vol_expansion,logistic,combined,8,75,0.8518566580053558,0.5733333333333334
next_5d_vol_expansion,logistic,combined,9,97,0.9572913744927378,0.6391752577319587
next_5d_vol_expansion,random_forest,combined,0,159,0.05978099423835867,0.22012578616352202
next_5d_vol_expansion,random_forest,combined,1,262,0.14864125202789577,0.20229007633587787
next_5d_vol_expansion,random_forest,combined,2,178,0.2450859853315783,0.24719101123595505
next_5d_vol_expansion,random_forest,combined,3,276,0.34820188636703836,0.3007246376811594
next_5d_vol_expansion,random_forest,combined,4,212,0.44321499772660616,0.38207547169811323
next_5d_vol_expansion,random_forest,combined,5,208,0.5470610255276802,0.4567307692307692
next_5d_vol_expansion,random_forest,combined,6,135,0.6475650759028829,0.6370370370370371
next_5d_vol_expansion,random_forest,combined,7,98,0.7449759785044109,0.7448979591836735
next_5d_vol_expansion,random_forest,combined,8,50,0.8423913248442828,0.78
next_5d_vol_expansion,random_forest,combined,9,19,0.9244439209027486,0.7368421052631579
next_21d_vol_expansion,logistic,rv_only,0,127,0.041286699408250034,0.10236220472440945
next_21d_vol_expansion,logistic,rv_only,1,167,0.15298727006121005,0.2155688622754491
next_21d_vol_expansion,logistic,rv_only,2,171,0.24772558774109288,0.4327485380116959
next_21d_vol_expansion,logistic,rv_only,3,271,0.3532214571445849,0.35424354243542433
next_21d_vol_expansion,logistic,rv_only,4,354,0.4521794355473857,0.4096045197740113
next_21d_vol_expansion,logistic,rv_only,5,401,0.5514362332296552,0.6758104738154613
next_21d_vol_expansion,logistic,rv_only,6,251,0.6393685954715561,0.8605577689243028
next_21d_vol_expansion,logistic,rv_only,7,37,0.7316005462374583,0.5945945945945946
next_21d_vol_expansion,logistic,rv_only,8,11,0.8197042331689175,0.2727272727272727
next_21d_vol_expansion,logistic,rv_only,9,0,,
next_21d_vol_expansion,random_forest,rv_only,0,315,0.04754103521199904,0.3111111111111111
next_21d_vol_expansion,random_forest,rv_only,1,226,0.15032501100363183,0.37610619469026546
next_21d_vol_expansion,random_forest,rv_only,2,247,0.25117418967163274,0.340080971659919
next_21d_vol_expansion,random_forest,rv_only,3,236,0.3492601203704796,0.4364406779661017
next_21d_vol_expansion,random_forest,rv_only,4,166,0.4548126911673378,0.5542168674698795
next_21d_vol_expansion,random_forest,rv_only,5,153,0.5505345161157376,0.5751633986928104
next_21d_vol_expansion,random_forest,rv_only,6,149,0.649669981037732,0.697986577181208
next_21d_vol_expansion,random_forest,rv_only,7,143,0.7495224460118398,0.6993006993006993
next_21d_vol_expansion,random_forest,rv_only,8,90,0.8479329200203592,0.7111111111111111
next_21d_vol_expansion,random_forest,rv_only,9,65,0.9346387622465548,0.8923076923076924
next_21d_vol_expansion,logistic,vix_only,0,121,0.03783425915067739,0.24793388429752067
next_21d_vol_expansion,logistic,vix_only,1,115,0.15402674220336282,0.3391304347826087
next_21d_vol_expansion,logistic,vix_only,2,152,0.25133101277900893,0.3618421052631579
next_21d_vol_expansion,logistic,vix_only,3,196,0.3545100914228345,0.37755102040816324
next_21d_vol_expansion,logistic,vix_only,4,353,0.45634616600643757,0.5354107648725213
next_21d_vol_expansion,logistic,vix_only,5,489,0.5473790978647249,0.5828220858895705
next_21d_vol_expansion,logistic,vix_only,6,130,0.6360138767942859,0.6307692307692307
next_21d_vol_expansion,logistic,vix_only,7,31,0.7408034781314613,0.6774193548387096
next_21d_vol_expansion,logistic,vix_only,8,8,0.8290890254704129,0.875
next_21d_vol_expansion,logistic,vix_only,9,7,0.9400839898316992,0.8571428571428571
next_21d_vol_expansion,random_forest,vix_only,0,39,0.07706921336158233,0.2564102564102564
next_21d_vol_expansion,random_forest,vix_only,1,160,0.15764309452137443,0.275
next_21d_vol_expansion,random_forest,vix_only,2,204,0.24871147693414394,0.4117647058823529
next_21d_vol_expansion,random_forest,vix_only,3,301,0.35155298154438724,0.4418604651162791
next_21d_vol_expansion,random_forest,vix_only,4,333,0.44857118915312727,0.5495495495495496
next_21d_vol_expansion,random_forest,vix_only,5,272,0.5503494094159197,0.5477941176470589
next_21d_vol_expansion,random_forest,vix_only,6,209,0.6446533319958613,0.6076555023923444
next_21d_vol_expansion,random_forest,vix_only,7,81,0.7383311531214602,0.691358024691358
next_21d_vol_expansion,random_forest,vix_only,8,3,0.8139886977916281,0.6666666666666666
next_21d_vol_expansion,random_forest,vix_only,9,0,,
next_21d_vol_expansion,logistic,vrp_only,0,83,0.04284103913092016,0.060240963855421686
next_21d_vol_expansion,logistic,vrp_only,1,141,0.15369514012988245,0.18439716312056736
next_21d_vol_expansion,logistic,vrp_only,2,291,0.2579372404410226,0.3024054982817869
next_21d_vol_expansion,logistic,vrp_only,3,273,0.3491898998683272,0.40293040293040294
next_21d_vol_expansion,logistic,vrp_only,4,192,0.44730281720813186,0.453125
next_21d_vol_expansion,logistic,vrp_only,5,139,0.5517877524014245,0.5899280575539568
next_21d_vol_expansion,logistic,vrp_only,6,146,0.6486502044019479,0.7534246575342466
next_21d_vol_expansion,logistic,vrp_only,7,100,0.7491401891836292,0.7
next_21d_vol_expansion,logistic,vrp_only,8,86,0.8525777833713589,0.7790697674418605
next_21d_vol_expansion,logistic,vrp_only,9,130,0.9525602377945054,0.9384615384615385
next_21d_vol_expansion,random_forest,vrp_only,0,140,0.045845344835530155,0.06428571428571428
next_21d_vol_expansion,random_forest,vrp_only,1,98,0.15529335978834588,0.21428571428571427
next_21d_vol_expansion,random_forest,vrp_only,2,207,0.2592166987646425,0.30917874396135264
next_21d_vol_expansion,random_forest,vrp_only,3,221,0.3466302261789312,0.3574660633484163
next_21d_vol_expansion,random_forest,vrp_only,4,207,0.4435321831455159,0.46859903381642515
next_21d_vol_expansion,random_forest,vrp_only,5,213,0.542874709562038,0.5164319248826291
next_21d_vol_expansion,random_forest,vrp_only,6,175,0.654669861865022,0.7028571428571428
next_21d_vol_expansion,random_forest,vrp_only,7,145,0.7463679854277402,0.7241379310344828
next_21d_vol_expansion,random_forest,vrp_only,8,92,0.849306833952749,0.8260869565217391
next_21d_vol_expansion,random_forest,vrp_only,9,83,0.9513012701884447,1.0
next_21d_vol_expansion,logistic,extreme_vrp,0,93,0.09307202909327986,0.1935483870967742
next_21d_vol_expansion,logistic,extreme_vrp,1,89,0.10676439333036536,0.033707865168539325
next_21d_vol_expansion,logistic,extreme_vrp,2,0,,
next_21d_vol_expansion,logistic,extreme_vrp,3,0,,
next_21d_vol_expansion,logistic,extreme_vrp,4,1109,0.4852396454901827,0.5049594229035167
next_21d_vol_expansion,logistic,extreme_vrp,5,73,0.5037064480356146,0.4383561643835616
next_21d_vol_expansion,logistic,extreme_vrp,6,92,0.6907845554239707,0.75
next_21d_vol_expansion,logistic,extreme_vrp,7,124,0.7106230537287365,0.6854838709677419
next_21d_vol_expansion,logistic,extreme_vrp,8,1,0.8151211966556077,0.0
next_21d_vol_expansion,logistic,extreme_vrp,9,0,,
next_21d_vol_expansion,random_forest,extreme_vrp,0,107,0.03755314733542075,0.09345794392523364
next_21d_vol_expansion,random_forest,extreme_vrp,1,105,0.1512485288311299,0.34285714285714286
next_21d_vol_expansion,random_forest,extreme_vrp,2,107,0.2501287673071021,0.4205607476635514
next_21d_vol_expansion,random_forest,extreme_vrp,3,215,0.35070120130490756,0.4930232558139535
next_21d_vol_expansion,random_forest,extreme_vrp,4,394,0.45708210465643856,0.5126903553299492
next_21d_vol_expansion,random_forest,extreme_vrp,5,270,0.5462835174177507,0.5
next_21d_vol_expansion,random_forest,extreme_vrp,6,185,0.6452568975498186,0.5459459459459459
next_21d_vol_expansion,random_forest,extreme_vrp,7,126,0.7432368840247667,0.6507936507936508
next_21d_vol_expansion,random_forest,extreme_vrp,8,54,0.841320264553042,0.6666666666666666
next_21d_vol_expansion,random_forest,extreme_vrp,9,18,0.9361031879149526,0.7777777777777778
next_21d_vol_expansion,logistic,combined,0,174,0.03956139927934283,0.20689655172413793
next_21d_vol_expansion,logistic,combined,1,181,0.15517770579068269,0.1878453038674033
next_21d_vol_expansion,logistic,combined,2,238,0.2522651876222572,0.40336134453781514
next_21d_vol_expansion,logistic,combined,3,234,0.3487404458184588,0.4230769230769231
next_21d_vol_expansion,logistic,combined,4,172,0.44779853093173205,0.47093023255813954
next_21d_vol_expansion,logistic,combined,5,117,0.5478718769836558,0.5811965811965812
next_21d_vol_expansion,logistic,combined,6,134,0.6493947292573442,0.6791044776119403
next_21d_vol_expansion,logistic,combined,7,101,0.7555554591641113,0.7326732673267327
next_21d_vol_expansion,logistic,combined,8,83,0.8489552291153728,0.6626506024096386
next_21d_vol_expansion,logistic,combined,9,147,0.9575323442149513,0.9047619047619048
next_21d_vol_expansion,random_forest,combined,0,180,0.04068229929197639,0.15
next_21d_vol_expansion,random_forest,combined,1,165,0.15296862435659336,0.23636363636363636
next_21d_vol_expansion,random_forest,combined,2,196,0.2520846019650486,0.3520408163265306
next_21d_vol_expansion,random_forest,combined,3,249,0.3517717510240093,0.44176706827309237
next_21d_vol_expansion,random_forest,combined,4,184,0.45011944682106475,0.44565217391304346
next_21d_vol_expansion,random_forest,combined,5,181,0.5568346725427088,0.5580110497237569
next_21d_vol_expansion,random_forest,combined,6,149,0.6485223887528899,0.6912751677852349
next_21d_vol_expansion,random_forest,combined,7,112,0.75436495069724,0.7767857142857143
next_21d_vol_expansion,random_forest,combined,8,108,0.8489448814649931,0.8703703703703703
next_21d_vol_expansion,random_forest,combined,9,57,0.9383502914539968,0.9649122807017544
