method,decile_type,decile,n_obs,avg_next_5d_vol,median_next_5d_vol,avg_next_21d_vol,median_next_21d_vol,vol_expansion_rate_5d,vol_expansion_rate_21d,avg_next_5d_return,avg_next_21d_return
historical rolling percentiles -> deciles,vrp_decile,0,315,0.181280512649638,0.14733632879390696,0.18172675391165963,0.1603565943491651,0.11428571428571428,0.10476190476190476,0.004737597512579385,0.016013190548757685
historical rolling percentiles -> deciles,vrp_decile,1,279,0.12256815678409967,0.10503603430011169,0.142095193950907,0.10864685317820517,0.16487455197132617,0.24731182795698925,0.0013790173260045501,0.010145711908667313
historical rolling percentiles -> deciles,vrp_decile,2,268,0.12040031977060921,0.1011291300518356,0.14375390386825435,0.11091361129248614,0.2574626865671642,0.3694029850746269,0.0010765959613321862,0.008797983744958908
historical rolling percentiles -> deciles,vrp_decile,3,306,0.10757221578952669,0.08825736629582234,0.1230327150615201,0.10122276531920857,0.2549019607843137,0.35947712418300654,0.002419725578001947,0.011646945348661706
historical rolling percentiles -> deciles,vrp_decile,4,246,0.11625300399907557,0.10506916576485345,0.1275436607141637,0.1140957730448493,0.3252032520325203,0.44308943089430897,0.0037357292764467484,0.010392800478273465
historical rolling percentiles -> deciles,vrp_decile,5,277,0.10528538392225172,0.08479350292908189,0.12441929339938217,0.10562768575466731,0.35018050541516244,0.5054151624548736,0.0019055771299960275,0.008791925240014205
historical rolling percentiles -> deciles,vrp_decile,6,254,0.11333506660005105,0.1015854870997995,0.13328008745270428,0.12464507051698348,0.4330708661417323,0.65748031496063,-6.1659952000426e-05,0.00382785670151623
historical rolling percentiles -> deciles,vrp_decile,7,267,0.12098951423163536,0.11061096384334235,0.13540113182578106,0.12269163136058513,0.4868913857677903,0.6816479400749064,0.0024072565391546888,0.008721641595256723
historical rolling percentiles -> deciles,vrp_decile,8,280,0.14866537098640803,0.12642392887233891,0.15148193989427536,0.13639591045869726,0.6214285714285714,0.6964285714285714,0.0037042933709164924,0.011686946025289989
historical rolling percentiles -> deciles,vrp_decile,9,348,0.22300355274058553,0.1787067040403123,0.20267292387501867,0.17209232965991328,0.7068965517241379,0.7097701149425287,0.00612397566449445,0.024308549070518902
historical rolling percentiles -> deciles,vix_decile,0,494,0.08508207267396542,0.07183106127650554,0.10161855713572622,0.09651241699054702,0.2793522267206478,0.4676113360323887,0.002716909812132597,0.01384972315797123
historical rolling percentiles -> deciles,vix_decile,1,277,0.09070673837799578,0.07541589354710382,0.1108019047650303,0.10332287261034188,0.3862815884476534,0.592057761732852,0.0015471596757425602,0.007361119684268627
historical rolling percentiles -> deciles,vix_decile,2,232,0.10935436824506169,0.09449226415318895,0.1191000348734397,0.10695359325853691,0.38362068965517243,0.46551724137931033,0.0027763784029012817,0.012554986202587472
historical rolling percentiles -> deciles,vix_decile,3,258,0.10241380251948796,0.08859355016203388,0.13227838882905113,0.11528828446685607,0.3333333333333333,0.5658914728682171,0.002544573830120738,0.003269407345011098
historical rolling percentiles -> deciles,vix_decile,4,206,0.11482706532271936,0.10215185531038051,0.12839488033576096,0.11151883614828101,0.3932038834951456,0.49514563106796117,0.0029436891153631034,0.004554792795160117
historical rolling percentiles -> deciles,vix_decile,5,275,0.12431333313738832,0.11239767148562471,0.14064013800525407,0.12374069395918133,0.3418181818181818,0.41818181818181815,0.0019074342759286178,0.00859455325513902
historical rolling percentiles -> deciles,vix_decile,6,278,0.1370874243169197,0.12855807530581137,0.14969370344420982,0.12683465265042657,0.3381294964028777,0.420863309352518,0.0011975169099821053,0.009248621105039026
historical rolling percentiles -> deciles,vix_decile,7,268,0.16377761787574935,0.14503146026134828,0.1704255528343147,0.1391223573272681,0.3805970149253731,0.40671641791044777,0.003604146364876191,0.012345959170728405
historical rolling percentiles -> deciles,vix_decile,8,225,0.1888791833668792,0.17280296616263502,0.19462209246681758,0.18759402103832748,0.38666666666666666,0.4088888888888889,0.00342359722810985,0.015886511994380553
historical rolling percentiles -> deciles,vix_decile,9,327,0.2852570334611373,0.22981022793722233,0.2538159463622407,0.2130902801937271,0.5749235474006116,0.5107033639143731,0.005739747411115926,0.02577417117842421
historical rolling percentiles -> deciles,rv21_decile,0,426,0.10584280723870339,0.09239683557848832,0.11782603847707368,0.11524785220295214,0.5070422535211268,0.7488262910798122,0.0018404256074211814,0.009734930311966919
historical rolling percentiles -> deciles,rv21_decile,1,272,0.10002874589505786,0.08386579873813708,0.1138835786261566,0.10638707223968419,0.47058823529411764,0.6875,0.0024765038124566156,0.014848391717346362
historical rolling percentiles -> deciles,rv21_decile,2,272,0.10943659335174435,0.09317312876155781,0.1308769448785175,0.11960627023206971,0.4485294117647059,0.6360294117647058,0.001061210118250236,0.006846454597869602
historical rolling percentiles -> deciles,rv21_decile,3,273,0.10547072592256042,0.09253808742227032,0.12085217098976407,0.10643915519792403,0.40293040293040294,0.5347985347985348,0.0017999331008113552,0.012403476087307668
historical rolling percentiles -> deciles,rv21_decile,4,240,0.10689678922046889,0.09258929690894793,0.11769943109034046,0.10137134286314409,0.36666666666666664,0.4041666666666667,0.0037131843997937025,0.01658901654482289
historical rolling percentiles -> deciles,rv21_decile,5,251,0.11514398275128414,0.1080165876017652,0.12777810489108143,0.1094275594707163,0.26294820717131473,0.38645418326693226,0.006690602124901113,0.009686292201705924
historical rolling percentiles -> deciles,rv21_decile,6,261,0.1422712696015725,0.12549219924584742,0.14423489791533028,0.11854465048747717,0.3371647509578544,0.2950191570881226,0.004196964794816435,0.011609183803812196
historical rolling percentiles -> deciles,rv21_decile,7,261,0.1445898436786028,0.12615005891832679,0.17310987293793864,0.12986774249378025,0.25287356321839083,0.3448275862068966,0.003241326553492455,0.0024977863770987317
historical rolling percentiles -> deciles,rv21_decile,8,247,0.1741461957795552,0.15609098228173604,0.17497664766069368,0.1857514244913439,0.2591093117408907,0.3157894736842105,0.0028653552330184283,0.022175883489142127
historical rolling percentiles -> deciles,rv21_decile,9,337,0.27083398335636377,0.2019880785566652,0.25437688758971005,0.20059049139149537,0.35014836795252224,0.258160237388724,0.0020504605251781913,0.014288090242441518
